,focalYear,focalSample,focalYSLabel,targetYear,targetSample,targetYSLabel,Cohort,CohortLabel,statType,subject,grade,jurisdiction,jurisLabel,scale,variable,variableLabel,valLabel,valValue,focalValue,isFocalStatDisplayable,focalErrorFlag,targetValue,isTargetStatDisplayable,targetErrorFlag,isSigDisplayable,gap,sig
5,1998,R3,1998,1998,R2,1998&#185;,1,Grade 4,MN:MN,RED,4,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,219.358253582416,1,0,224.613925847257,1,8,1,-5.255672264841,EQUAL
0,1998,R2,1998&#185;,1998,R3,1998,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,245.731370274132,1,8,244.868444076876,1,0,1,0.862926197256002,EQUAL
1,1998,R2,1998&#185;,1998,R3,1998,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,268.781545218365,1,8,268.248488942551,1,0,1,0.533056275814033,EQUAL
2,1998,R2,1998&#185;,1998,R3,1998,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,264.991543541453,1,8,264.197461851712,1,0,1,0.794081689741006,EQUAL
3,1998,R3,1998,1998,R2,1998&#185;,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,244.868444076876,1,0,245.731370274132,1,8,1,-0.862926197256002,EQUAL
4,1998,R3,1998,1998,R2,1998&#185;,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,268.248488942551,1,0,268.781545218365,1,8,1,-0.533056275814033,EQUAL
5,1998,R3,1998,1998,R2,1998&#185;,2,Grade 8,MN:MN,RED,8,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,264.197461851712,1,0,264.991543541453,1,8,1,-0.794081689741006,EQUAL
0,1998,R2,1998&#185;,1998,R3,1998,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,270.614704523283,1,8,269.474350228479,1,0,1,1.14035429480401,EQUAL
1,1998,R2,1998&#185;,1998,R3,1998,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,292.703503514532,1,8,292.494803476512,1,0,1,0.20870003801997,EQUAL
2,1998,R2,1998&#185;,1998,R3,1998,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,292.396887611475,1,8,289.784512704502,1,0,1,2.612374906973,EQUAL
3,1998,R3,1998,1998,R2,1998&#185;,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Eligible,1,269.474350228479,1,0,270.614704523283,1,8,1,-1.14035429480401,EQUAL
4,1998,R3,1998,1998,R2,1998&#185;,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Not eligible,2,292.494803476512,1,0,292.703503514532,1,8,1,-0.20870003801997,EQUAL
5,1998,R3,1998,1998,R2,1998&#185;,3,Grade 12,MN:MN,RED,12,NP,National public,RRPCM,SLUNCH3,"National School Lunch Program eligibility, 3 categories",Information not available,3,289.784512704502,1,0,292.396887611475,1,8,1,-2.612374906973,EQUAL
